scenario_id,catalogue_id,template_id,parameter_name,value,unit,lower_bound,upper_bound,range_status,sampling_kind,fixed_context,context_id,source_ids
4179901:S01:space_filling:6,S01,fbrt_cutin,initial_clearance_m,45.228559620678425,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:6,S01,fbrt_cutin,lane_change_time_scale_s,2.9557110420428216,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:7,S01,fbrt_cutin,initial_clearance_m,25.485835138708353,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:7,S01,fbrt_cutin,lane_change_time_scale_s,1.8148309369571507,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:8,S01,fbrt_cutin,initial_clearance_m,29.136801172047853,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:8,S01,fbrt_cutin,lane_change_time_scale_s,2.783800763078034,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:9,S01,fbrt_cutin,initial_clearance_m,35.90124537795782,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:9,S01,fbrt_cutin,lane_change_time_scale_s,1.6337081585079432,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:10,S01,fbrt_cutin,initial_clearance_m,50.4612325578928,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:10,S01,fbrt_cutin,lane_change_time_scale_s,2.310825841035694,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:11,S01,fbrt_cutin,initial_clearance_m,17.820466335862875,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:11,S01,fbrt_cutin,lane_change_time_scale_s,1.9199142646975815,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:12,S01,fbrt_cutin,initial_clearance_m,16.84868748858571,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:12,S01,fbrt_cutin,lane_change_time_scale_s,2.8154288758523762,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:13,S01,fbrt_cutin,initial_clearance_m,49.185903899371624,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:13,S01,fbrt_cutin,lane_change_time_scale_s,1.7677952251397073,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:14,S01,fbrt_cutin,initial_clearance_m,37.774456307291985,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:14,S01,fbrt_cutin,lane_change_time_scale_s,2.5372108574956656,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:15,S01,fbrt_cutin,initial_clearance_m,31.51648273691535,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S01:space_filling:15,S01,fbrt_cutin,lane_change_time_scale_s,2.2313174391165376,s,1.5,3.0,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""event_start_s"": 1, ""lane_count"": 2, ""lead_speed_mps"": 20}",S01:research_v2:30802d1dbb,S3;S4;L1;L2;L3
4179901:S02:anchor_like:0,S02,fbrt_cutout_static,initial_clearance_m,16.0,m,8,40,RESEARCH_RANGE,anchor_like,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:anchor_like:0,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,2.625,s,2.0,4.5,RESEARCH_RANGE,anchor_like,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:anchor_like:1,S02,fbrt_cutout_static,initial_clearance_m,16.0,m,8,40,RESEARCH_RANGE,anchor_like,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:anchor_like:1,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,3.875,s,2.0,4.5,RESEARCH_RANGE,anchor_like,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:anchor_like:2,S02,fbrt_cutout_static,initial_clearance_m,32.0,m,8,40,RESEARCH_RANGE,anchor_like,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:anchor_like:2,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,2.625,s,2.0,4.5,RESEARCH_RANGE,anchor_like,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:anchor_like:3,S02,fbrt_cutout_static,initial_clearance_m,32.0,m,8,40,RESEARCH_RANGE,anchor_like,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:anchor_like:3,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,3.875,s,2.0,4.5,RESEARCH_RANGE,anchor_like,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:4,S02,fbrt_cutout_static,initial_clearance_m,36.812384992837906,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:4,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,3.4670096524059772,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:5,S02,fbrt_cutout_static,initial_clearance_m,9.096582174301147,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:5,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,2.450769665185362,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:6,S02,fbrt_cutout_static,initial_clearance_m,19.00758057832718,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:6,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,4.381183817051351,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:7,S02,fbrt_cutout_static,initial_clearance_m,30.83864066004753,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:7,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,2.7399417809210718,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:8,S02,fbrt_cutout_static,initial_clearance_m,26.547538340091705,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:8,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,3.9236237462610006,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:9,S02,fbrt_cutout_static,initial_clearance_m,23.35709497332573,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:9,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,3.219894189853221,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:10,S02,fbrt_cutout_static,initial_clearance_m,13.258358150720596,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:10,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,3.573149752803147,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:11,S02,fbrt_cutout_static,initial_clearance_m,32.583528995513916,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:11,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,2.2444175514392555,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:12,S02,fbrt_cutout_static,initial_clearance_m,34.49643138051033,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:12,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,4.257745102979243,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:13,S02,fbrt_cutout_static,initial_clearance_m,15.657589554786682,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:13,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,2.9289934928528965,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:14,S02,fbrt_cutout_static,initial_clearance_m,21.691873252391815,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:14,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,3.2779581267386675,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:15,S02,fbrt_cutout_static,initial_clearance_m,24.39989385008812,m,8,40,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S02:space_filling:15,S02,fbrt_cutout_static,lead_to_static_ttc_start_s,2.5742086400277913,s,2.0,4.5,RESEARCH_RANGE,space_filling,"{""duration_s"": 14, ""ego_speed_mps"": 20, ""event_start_s"": 1, ""lane_change_time_scale_s"": 0.8, ""lane_count"": 2, ""lead_speed_mps"": 20}",S02:research_v2:21bc34d1aa,S3;S4
4179901:S05:anchor_like:0,S05,fbrt_lane_change_rear,rear_clearance_m,21.0,m,8,60,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:anchor_like:0,S05,fbrt_lane_change_rear,rear_closing_speed_mps,2.5,m/s,0,10,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:anchor_like:1,S05,fbrt_lane_change_rear,rear_clearance_m,21.0,m,8,60,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:anchor_like:1,S05,fbrt_lane_change_rear,rear_closing_speed_mps,7.5,m/s,0,10,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:anchor_like:2,S05,fbrt_lane_change_rear,rear_clearance_m,47.0,m,8,60,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:anchor_like:2,S05,fbrt_lane_change_rear,rear_closing_speed_mps,2.5,m/s,0,10,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:anchor_like:3,S05,fbrt_lane_change_rear,rear_clearance_m,47.0,m,8,60,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:anchor_like:3,S05,fbrt_lane_change_rear,rear_closing_speed_mps,7.5,m/s,0,10,RESEARCH_RANGE,anchor_like,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:space_filling:4,S05,fbrt_lane_change_rear,rear_clearance_m,23.05022894591093,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:space_filling:4,S05,fbrt_lane_change_rear,rear_closing_speed_mps,8.253099974244833,m/s,0,10,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:space_filling:5,S05,fbrt_lane_change_rear,rear_clearance_m,57.32750702649355,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:space_filling:5,S05,fbrt_lane_change_rear,rear_closing_speed_mps,4.481558576226234,m/s,0,10,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:space_filling:6,S05,fbrt_lane_change_rear,rear_clearance_m,37.30504123866558,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:space_filling:6,S05,fbrt_lane_change_rear,rear_closing_speed_mps,6.6324626840651035,m/s,0,10,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:space_filling:7,S05,fbrt_lane_change_rear,rear_clearance_m,16.230836629867554,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:space_filling:7,S05,fbrt_lane_change_rear,rear_closing_speed_mps,0.32094139605760574,m/s,0,10,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
4179901:S05:space_filling:8,S05,fbrt_lane_change_rear,rear_clearance_m,8.448470883071423,m,8,60,RESEARCH_RANGE,space_filling,"{""duration_s"": 12, ""ego_speed_mps"": 25, ""lane_count"": 2, ""lead_clearance_m"": 25, ""lead_speed_mps"": 18}",S05:research_v2:765fea4d7c,S6
