step,target_sut,method_variant,status,residual_norm,iterations,simplex_violation,fallback
10,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.0,1,0.0,False
12,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.0,1,0.0,False
13,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4142135623730951,1,0.0,False
14,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4142135623730951,1,0.0,False
15,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4142135623730954,3,2.220446049250313e-16,False
16,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.58113883008419,3,0.0,False
17,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.6329931618554525,2,2.220446049250313e-16,False
18,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.6583123951777001,2,2.220446049250313e-16,False
19,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.673320053068152,3,2.220446049250313e-16,False
20,SUT-B,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.6832508230603473,2,2.220446049250313e-16,False
1,SUT-C,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-C,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-C,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
13,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4245186807926302e-08,6,0.0,False
14,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.0205481370415355e-08,1,0.0,False
15,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4269148734179442e-08,6,2.220446049250313e-16,False
16,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.1495262404870945e-08,1,2.220446049250313e-16,False
17,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.7143410670693964e-08,1,2.220446049250313e-16,False
18,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.0190867949506422e-07,1,2.220446049250313e-16,False
19,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4309907182454218e-07,1,2.220446049250313e-16,False
20,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.6508285579954677e-08,5,0.0,False
1,SUT-C,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-C,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-C,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
13,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,7.4407580097357595e-09,3,0.0,False
14,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.052282089170455e-08,1,0.0,False
15,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.8769750721979546e-08,3,0.0,False
16,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.1673441263914128e-08,1,0.0,False
17,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.4231643986230474e-08,1,0.0,False
18,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.6544436033385667e-08,1,0.0,False
19,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.8671267819641098e-08,1,0.0,False
20,SUT-C,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.163452784470324e-07,3,1.1102230246251565e-16,False
1,SUT-D,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-D,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-D,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
13,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4245186807926302e-08,6,0.0,False
14,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.0205481370415355e-08,1,0.0,False
15,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4269148734179442e-08,6,2.220446049250313e-16,False
16,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.1495262404870945e-08,1,2.220446049250313e-16,False
17,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.7143410670693964e-08,1,2.220446049250313e-16,False
18,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.10846831617547723,8,0.0,False
19,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.12909528010470644,13,0.0,False
20,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.13639246973533348,13,0.0,False
1,SUT-D,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-D,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-D,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
13,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,7.4407580097357595e-09,3,0.0,False
14,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.052282089170455e-08,1,0.0,False
15,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.8769750721979546e-08,3,0.0,False
16,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.1673441263914128e-08,1,0.0,False
17,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.4231643986230474e-08,1,0.0,False
18,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.6544436033385667e-08,1,0.0,False
19,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.8944271909999161,4,2.220446049250313e-16,False
20,SUT-D,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.9128709291752769,2,0.0,False
1,SUT-E,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-E,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-E,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
13,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4245186807926302e-08,6,0.0,False
14,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.0205481370415355e-08,1,0.0,False
15,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0674840626578071,5,2.220446049250313e-16,False
16,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.08326618695668214,5,0.0,False
17,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.08326618695671971,13,0.0,False
18,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.14233647361408103,10,0.0,False
19,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.14820675430120758,6,0.0,False
20,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.3652969307753324,4,0.0,False
1,SUT-E,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-E,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-E,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
13,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.3877787807814457e-17,3,0.0,False
14,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.962615573354719e-17,1,0.0,False
15,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.4037033579794548e-17,1,0.0,False
16,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.7755575615628914e-17,1,0.0,False
17,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,3.1031676915590914e-17,1,0.0,False
18,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.8944271909999161,4,0.0,False
19,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.1547005383792517,4,1.1102230246251565e-16,False
20,SUT-E,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.1952286093343936,2,0.0,False
1,SUT-F,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-F,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-F,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
13,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4245186807926302e-08,6,0.0,False
14,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.0205481370415355e-08,1,0.0,False
15,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.4265199784647731e-08,6,0.0,False
16,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.148931389155131e-08,1,0.0,False
17,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.7136129625387193e-08,1,0.0,False
18,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.0188049426701618e-07,1,0.0,False
19,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.430594513320377e-07,1,0.0,False
20,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.4509172297650312e-08,5,2.220446049250313e-16,False
1,SUT-F,AdaTE-Mixture-H-staticK1,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-F,AdaTE-Mixture-H-staticK2,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-F,AdaTE-Mixture-H-staticK4,Optimization terminated successfully,0.0,1,0.0,False
1,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
2,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
3,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
4,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
5,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
6,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
7,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
8,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
9,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
10,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
11,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
12,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,0.0,1,0.0,False
13,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,7.4407580097357595e-09,3,0.0,False
14,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.052282089170455e-08,1,0.0,False
15,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,1.8769750721979546e-08,3,0.0,False
16,SUT-F,AdaTE-Mixture-H-sequential,Optimization terminated successfully,2.1673441263914128e-08,1,0.0,False
