scenario_index,scenario_id,configured_gap,relative_speed,mode,collision_SUT-A,collision_SUT-B,collision_SUT-C,collision_SUT-D
77,fst-5ab6ebec24088dfe,11.984244524501264,-7.426382509991527,cutin_braking,1,0,1,1
78,fst-d867beda91803989,14.933762471191585,-0.5095277559012175,cutin_braking,0,0,0,0
79,fst-697a68e4664cb741,27.145952652208507,-4.575562451034784,cutin_braking,0,0,0,0
80,fst-738a3d21301e6d05,28.271766025573015,-0.9437894280999899,cutin_braking,0,0,0,0
81,fst-bfb4029f34767077,14.21393321827054,-4.375656630843878,cutin_braking,0,0,1,0
82,fst-c6e7dcadfd5298bf,12.77242474257946,1.2832483537495136,cutin_braking,0,0,0,0
83,fst-b2473f4707bf9d68,33.64811010658741,-7.773353626951575,cutin_braking,0,0,0,1
84,fst-7226e6aec7ff2df6,35.73748575523496,0.42677000910043716,cutin_braking,0,0,0,0
85,fst-0e49c9ccc7c7d48c,6.299521643668413,-5.506977403536439,cutin_braking,1,1,1,1
86,fst-700265152205bc66,20.61822660267353,-2.4243569765239954,cutin_braking,0,0,0,0
87,fst-55c6c828556a78a5,26.2510334700346,-3.9827593341469765,cutin_braking,0,0,0,0
88,fst-44e652cf9a9db172,23.359319339506328,1.9776361137628555,cutin_braking,0,0,0,0
89,fst-9e251c060892b4be,20.190122346393764,-7.100568043068051,cutin_braking,1,0,1,1
90,fst-dbf99d96c7295870,7.824037908576429,-1.4997123200446367,cutin_braking,0,0,1,0
91,fst-4a07f471bd5dbb2c,39.720254628919065,-4.952570229768753,cutin_braking,0,0,0,0
92,fst-fc678c2835c1f0b6,32.982992748729885,-1.8880411814898252,cutin_braking,0,0,0,0
93,fst-94f592ebc34a63a6,10.194861660711467,-3.4643639363348484,cutin_braking,1,0,1,0
94,fst-0269cdfb7e8ecb72,17.88687357213348,-0.28722335770726204,cutin_braking,0,0,0,0
95,fst-2e1197a504aa1b84,30.029039620421827,-6.238282082602382,cutin_braking,0,0,0,0
96,fst-daab47ee4f887805,29.344662516377866,-2.3423737306147814,cutin_braking,0,0,0,0
97,fst-d6904ae83fc88a08,17.477467297576368,-3.2834737300872803,cutin_braking,0,0,0,0
98,fst-624fffa7a3517c66,9.5110436482355,-0.11655177175998688,cutin_braking,0,0,0,0
99,fst-84a51d796d1f789d,32.573094139806926,-6.682386474683881,cutin_braking,0,0,0,0
100,fst-d03f54034dc62b5a,39.037452577613294,1.5239133946597576,cutin_braking,0,0,0,0
101,fst-007d5a379f2c4b9d,7.413123338483274,-6.9202875178307295,cutin_braking,1,1,1,1
102,fst-f47969ad4358a01e,19.506744514219463,-1.3284297119826078,cutin_braking,0,0,0,0
103,fst-f257c04a2bf798bb,22.948913793079555,-5.397285494953394,cutin_braking,0,0,0,1
104,fst-ab14f62e287b165c,26.660437658429146,0.558832723647356,cutin_braking,0,0,0,0
105,fst-c12680633aed0a6f,21.30260579288006,-5.990607460960746,cutin_braking,0,0,1,1
106,fst-963914e7e616baeb,6.7094348557293415,-2.9172901269048452,cutin_braking,1,1,1,1
107,fst-48a76ee12e04feb0,36.421289164572954,-3.8413839899003506,cutin_braking,0,0,0,0
108,fst-93804bff9b8513c0,34.059010073542595,-0.8123375866562128,cutin_braking,0,0,0,0
109,fst-821708bf73d76b93,13.455241397023201,-4.858675666153431,cutin_braking,1,0,1,1
110,fst-964927915db312e3,14.62434085085988,0.7897055223584175,cutin_braking,0,0,0,0
111,fst-a5d6bc5e6f0d196a,28.95514177158475,-7.631368452683091,cutin_braking,0,0,0,1
112,fst-d9dc837334d4adf3,27.55579702090472,1.156215861439705,cutin_braking,0,0,0,0
113,fst-f3f46c30661a03cd,15.617634723894298,-7.919772790744901,cutin_braking,1,0,1,1
114,fst-c849a672dccbfd2c,12.393579869531095,-0.9926994163542986,cutin_braking,0,0,0,0
115,fst-ec0d5221e9aa1d1f,35.52672260906547,-4.443958133459091,cutin_braking,0,0,0,0
116,fst-bae70bedb9d19b35,37.55574948620051,-2.629502398893237,cutin_braking,0,0,0,0
117,fst-5169177389d44964,5.998114864341915,-4.2072777189314365,cutin_braking,1,1,1,1
118,fst-333c858a453a0c95,22.082276879809797,0.14349262043833733,cutin_braking,0,0,0,0
119,fst-eec39843577aaa47,25.457626371644437,-5.809623060747981,cutin_braking,0,0,0,1
120,fst-11398f8314a148a6,23.664598036557436,-1.685174947604537,cutin_braking,0,0,0,0
121,fst-18b6c44908f04fd4,18.376798648387194,-5.118646111339331,cutin_braking,0,0,1,1
122,fst-ca41cb0547d84ec2,8.611436858773232,1.7140412218868732,cutin_braking,0,0,0,0
123,fst-7afd67773d29c800,38.253400549292564,-7.344771495088935,cutin_braking,0,0,0,0
124,fst-962d671f4f2e6fcf,31.575419325381517,-0.3945733532309532,cutin_braking,0,0,0,0
125,fst-d4cf1c349a1b2cbe,10.905890632420778,-6.326259041205049,cutin_braking,1,0,1,1
126,fst-777258d19b1fb1e2,16.014269217848778,-1.9172683749347925,cutin_braking,0,0,0,0
127,fst-cf408df2b696c7be,30.410688295960426,-3.4742229357361794,cutin_braking,0,0,0,0
128,fst-aef1c8658ac3dec8,30.808859183453023,-1.8673430774360895,lead_braking,0,0,0,0
129,fst-f49db9486b9582cf,21.947129564359784,-3.6258851289749146,lead_braking,0,0,0,0
130,fst-19c47ea76e5f81d5,7.795601557008922,0.38410353288054466,lead_braking,0,0,0,0
131,fst-740bcfcef323f942,33.88375814072788,-6.529239660128951,lead_braking,0,0,0,0
132,fst-c104df2e1f4b40fb,39.13679684512317,1.0350757632404566,lead_braking,0,0,0,0
133,fst-acc630a6b89b4534,13.561239610426128,-7.207680094987154,lead_braking,1,0,1,1
134,fst-c639b6e40cfc09e3,16.087534921243787,-1.2396408170461655,lead_braking,0,0,0,0
135,fst-340740f71110523c,25.53014816250652,-4.32500090636313,lead_braking,0,0,0,0
136,fst-58be8886302c0338,24.336017202585936,0.10679703950881958,lead_braking,0,0,0,0
137,fst-60841d09437c9302,15.166789372451603,-5.634812900796533,lead_braking,1,0,1,1
138,fst-9eafd05f8f01991b,10.175290293991566,-2.7722995933145285,lead_braking,0,0,1,0
139,fst-88ad05208d1ed4a3,36.0243414202705,-3.358805600553751,lead_braking,0,0,0,0
140,fst-30e0710504f85abb,32.3478032508865,-0.9598929174244404,lead_braking,0,0,0,0
141,fst-35817836ce275c3e,7.079977877438068,-5.216986259445548,lead_braking,1,0,1,1
142,fst-d2bf63cdb31d6b01,18.21941473055631,1.9375908728688955,lead_braking,0,0,0,0
143,fst-db690ae98bca175b,27.90143383666873,-7.477201029658318,lead_braking,0,0,0,1
144,fst-0b91236cfaa1f897,28.649519835598767,1.4061163999140263,lead_braking,0,0,0,0
145,fst-a583657efc44e03c,19.73761161789298,-7.851204557344317,lead_braking,1,0,1,1
146,fst-56b38bb0a63d9a65,5.588483870960772,-0.7113188523799181,lead_braking,0,0,1,0
147,fst-2e121bdc16f948bd,31.726822964847088,-5.125882990658283,lead_braking,0,0,0,0
148,fst-12052dd31722022d,36.93290214985609,-2.5517995581030846,lead_braking,0,0,0,0
149,fst-5f0477e5e13b4173,11.37544667813927,-3.2933344710618258,lead_braking,0,0,1,0
150,fst-e4d79aeb34532c71,13.907886650413275,-0.45519223622977734,lead_braking,0,0,0,0
151,fst-d4bc7ef6d4ac6f8f,23.332394217140973,-6.041773419827223,lead_braking,0,0,0,1
152,fst-184045a958f4fe99,26.50893864221871,-1.6038763355463743,lead_braking,0,0,0,0
153,fst-5e2bc29d0a598b87,17.35792079474777,-4.846707370132208,lead_braking,0,0,0,1
154,fst-42f2fada7bd8ba84,12.36882614903152,1.1359470412135124,lead_braking,0,0,0,0
155,fst-74801af37fd2f6d8,38.19966285955161,-6.949338020756841,lead_braking,0,0,0,0
156,fst-780f620ddfdbebc4,34.561614389531314,0.4398066531866789,lead_braking,0,0,0,0
157,fst-8b994f49d0f75f32,9.243568954989314,-6.318507634103298,lead_braking,1,0,1,1
158,fst-a72067cd83931f6e,20.389146297238767,-2.2840716056525707,lead_braking,0,0,0,0
159,fst-3dc45c5e181d3b14,30.12138989754021,-4.1976424138993025,lead_braking,0,0,0,0
160,fst-e4c5e71eb5a67514,29.432005221024156,0.13998717814683914,lead_braking,0,0,0,0
161,fst-76bcd2a04b9c0ced,21.06598114129156,-6.617104487493634,lead_braking,0,0,1,1
162,fst-727c9e1fe24ccb58,8.55722120963037,-1.9747922401875257,lead_braking,0,0,1,0
163,fst-2859bce38c5117f8,35.24342212360352,-3.8895845524966717,lead_braking,0,0,0,0
164,fst-7d7e729e4c1f9a82,38.88577643316239,-1.2884935103356838,lead_braking,0,0,0,0
165,fst-c7a1bd3d41e7d1b7,11.686717486009002,-4.530104530975223,lead_braking,1,0,1,1
166,fst-ba6265aea2b6dc64,18.047539643011987,0.8104927819222212,lead_braking,0,0,0,0
167,fst-c967bcafe5a1a73a,25.832404727116227,-7.276011027395725,lead_braking,0,0,0,1
168,fst-d31f5d9850f87cd2,22.924991962499917,-2.879690306261182,lead_braking,0,0,0,0
169,fst-82c8259e7e29e409,14.319828916341066,-3.62244426459074,lead_braking,0,0,0,1
170,fst-fe07e01474982ba0,10.971081354655325,-0.1373729221522808,lead_braking,0,0,0,0
171,fst-8be92f8fd9cb7f6d,37.3498173058033,-5.722733793780208,lead_braking,0,0,0,0
172,fst-3e4c72af3ad4dfe0,32.13095411658287,1.7129494417458773,lead_braking,0,0,0,0
173,fst-8f64f0ab24d42e6b,5.171267786063254,-7.545592721551657,lead_braking,1,1,1,1
174,fst-af8ef37c6145f358,20.145248044282198,-1.0086920037865639,lead_braking,0,0,0,0
175,fst-17e56a539c822ddf,28.237878498621285,-5.422033818438649,lead_braking,0,0,0,0
176,fst-bd51d39eb210b324,27.22356477752328,-0.6429474260658026,lead_braking,0,0,0,0
177,fst-a08f29cb08590e89,18.909834665246308,-4.901259440928698,lead_braking,0,0,0,1
178,fst-0bd551a6f83579af,6.399204358458519,1.611184224486351,lead_braking,0,0,0,0
179,fst-9c5d6ce81905028e,33.0331157380715,-7.802387589588761,lead_braking,0,0,0,0
180,fst-352a142912ea85e7,36.70534806791693,-0.1915333066135645,lead_braking,0,0,0,0
181,fst-e5cc5c653d69aa88,9.49027769267559,-5.934364825487137,lead_braking,1,0,1,1
182,fst-1378a641dddda14d,15.844425302930176,-2.463898930698633,lead_braking,0,0,0,0
183,fst-c4e1e0f6240aa6bd,23.64529738202691,-3.049182390794158,lead_braking,0,0,0,0
184,fst-bc88431c5717a6fe,25.11717168148607,1.3410304002463818,lead_braking,0,0,0,0
185,fst-4d2da3137cee75c0,16.495972434058785,-6.900503208860755,lead_braking,1,0,1,1
186,fst-c03d11eab2cccc58,13.145358669571579,-1.5355251375585794,lead_braking,0,0,0,0
187,fst-73b758c6c215ca09,39.54012691043317,-4.62210650742054,lead_braking,0,0,0,0
188,fst-0d3836672ad8be5b,34.299872210249305,-2.196186512708664,lead_braking,0,0,0,0
189,fst-4a4e479e301b4082,7.392571377567947,-3.9535081777721643,lead_braking,1,0,1,1
190,fst-9d1701ee0c6c2400,22.359872916713357,0.7034858111292124,lead_braking,0,0,0,0
191,fst-552dae0facfb782b,30.400121784769,-6.211076352745295,lead_braking,0,0,0,0
